SALE DATE,Hour,Minute,Second
20101109,17,45,52
20130828,23,54,17
19981201,5,3,28
20141022,6,51,59
20090331,4,56,42
20140630,18,59,14
20060630,23,38,12
20060814,21,33,26
19960401,10,8,51
20071227,4,50,6
20020624,13,13,12
20100614,24,23,20
20130819,7,25,2
20100603,22,12,43
20060724,6,56,13
20031218,11,50,2
20041209,11,7,13
20001018,21,1,42
20071219,15,34,3
20000711,5,9,53
20101124,21,3,22
20060530,18,34,46
20100429,22,25,2
20000110,12,58,42
20111114,14,59,29
20120813,12,24,14
19940201,17,42,33
19970901,24,17,35
20050525,18,57,12
20111104,4,9,37
20000801,10,54,51
20030725,8,1,41
20011227,23,14,54
20080812,7,27,47
19990501,11,47,36
20020228,20,48,55
20091113,8,23,3
19900601,6,10,54
20101001,16,24,22
19990501,14,55,39
20050930,19,43,29
20100201,14,20,10
20140430,7,30,54
20130808,11,21,47
19900801,19,40,25
19990907,18,1,58
20130604,3,25,22
20001023,15,19,55
20100423,9,59,43
19931001,24,40,43
20041022,23,21,5
19931201,19,13,44
20070627,11,40,31
20100901,21,29,45
19930901,0,16,44
19980301,6,38,5
20060803,24,42,41
20111114,24,20,23
20141204,9,58,21
20121214,10,26,47
20070913,0,2,45
20070824,18,6,40
20041129,6,37,34
20030530,4,21,56
19861201,19,27,38
19950101,18,47,2
19991101,3,37,51
19880701,10,27,54
19970301,6,38,44
19771001,18,22,22
20060130,22,33,46
20030418,1,32,51
20120731,17,22,28
20120731,1,13,17
20061227,11,24,52
20080117,4,53,21
20101115,5,24,40
20100430,20,9,35
20020826,1,23,4
20080828,24,27,17
20020412,9,17,8
20020412,11,23,34
20010927,17,12,20
19921201,4,37,58
20090625,20,0,29
20130222,8,51,10
20130222,12,10,16
20140430,22,2,26
19960501,2,13,39
20101222,4,35,19
19961201,1,32,43
19881101,9,53,7
19841201,18,26,39
20070629,8,35,28
19970901,24,48,26
20000501,9,26,16
20100916,19,6,37
20120831,4,28,38
20120831,12,59,21
20100322,2,41,19
20110120,5,10,47
20060508,21,12,49
20120813,19,41,15
20090821,18,24,8
19900601,11,43,36
20120814,23,55,53
20051018,2,49,31
20030213,20,34,20
19970101,13,44,37
20130920,4,6,8
20130523,1,36,17
20090827,24,14,31
20130117,7,30,45
20021009,6,37,11
20011106,15,11,24
19861101,10,10,36
19940401,10,0,13
20070427,12,21,32
20070321,19,25,30
20020506,1,12,24
19990801,14,35,9
19770201,7,40,23
19941001,4,54,30
19990201,3,19,45
19991101,5,8,7
20110128,14,3,39
20100624,5,13,18
19870501,22,9,25
20011129,5,49,14
19990129,5,45,45
20070525,9,4,39
20090914,7,42,55
20091229,17,37,17
20110606,5,35,39
20000928,16,33,50
20060810,18,59,46
19751001,1,21,26
20140725,16,2,5
19761001,24,38,3
20120430,8,51,58
20140530,5,27,38
20011001,24,57,35
19890301,4,9,37
19770901,17,22,33
20060929,23,2,15
20120713,8,50,21
19970101,18,21,53
19970801,20,11,32
19940801,10,4,54
19800201,18,38,25
20080630,6,49,31
19820901,7,39,28
20110519,18,35,9
20020626,2,9,25
20000427,8,15,45
19981101,18,12,20
20120829,13,7,57
19991101,21,6,57
20120924,21,3,16
20140714,6,40,21
19870801,5,11,46
19830801,10,29,2
19940701,6,38,39
19740301,4,18,15
19991230,5,24,56
19771201,14,39,13
19840601,15,1,17
20020401,6,4,47
20020927,21,34,59
19921001,3,25,16
20140527,18,27,16
20140527,4,22,57
20021104,14,51,41
19770901,21,58,13
19771201,22,36,22
19831201,16,11,55
20080307,11,31,44
19980701,0,31,42
20110815,24,39,41
19800101,8,0,50
19790601,5,54,21
20030509,18,35,11
20040302,6,34,34
20090824,15,6,52
20001204,14,58,9
19980601,15,34,38
20140801,20,45,12
20030117,10,51,15
20130708,22,19,20
19970501,7,32,56
20071214,5,23,43
19941001,19,4,2
20051221,14,22,48
20110505,6,39,59
20120315,11,47,35
20120315,9,2,27
20050826,19,17,6
19990301,8,39,23
20110606,8,49,33
19771001,19,56,37
20080117,15,58,24
20050121,8,21,20
20071030,10,42,50
20100601,19,54,18
19960301,9,24,45
20001023,18,1,12
19980212,18,52,52
20050218,7,0,8
20120423,15,46,32
20131023,18,7,13
20110513,12,49,24
20091229,23,3,14
20030929,24,55,16
20100505,14,19,0
20140529,1,43,56
20140529,15,38,23
19871101,3,57,58
20000515,14,7,44
19951001,18,34,28
19810901,24,26,3
20090925,17,29,11
20090910,2,6,36
20120301,9,4,27
19760701,15,35,34
20061212,0,29,39
19960901,18,55,8
20040615,21,4,45
19910601,16,19,36
19881001,5,53,59
19981101,0,52,2
20030813,6,50,4
20010112,18,53,59
19831101,1,13,59
19801101,14,23,35
20031024,9,19,10
20021213,1,54,47
19760801,11,58,45
19800801,12,9,0
19821201,24,9,20
20020729,11,8,12
20130819,22,38,31
20040729,3,2,5
19750601,8,17,44
20070619,21,25,1
20060714,12,59,20
20021217,9,57,46
19770201,1,8,43
20120525,14,47,42
19891101,0,14,17
19980501,2,14,3
19990301,12,33,11
20020107,19,6,10
20020913,9,48,30
20130320,22,20,7
19820601,4,52,2
20140616,24,20,45
19760801,23,28,33
20021022,21,19,39
20020626,21,15,19
20070725,16,42,53
19920201,0,58,18
20011001,2,38,36
20071022,8,54,17
20110311,9,6,13
20121019,9,28,53
20031219,17,35,8
20030627,13,1,43
20081114,3,48,1
20140624,7,54,25
19950401,13,48,57
19951001,1,54,40
20020625,15,56,12
20121130,21,41,46
20110204,1,10,56
20070628,10,19,48
20030131,20,5,39
20050928,12,28,49
20120509,23,14,25
20020131,20,7,5
19750701,21,15,8
20110511,1,47,30
19750401,5,41,55
19891201,12,12,12
19990101,15,5,41
19830301,16,48,30
20100312,4,35,11
19860801,17,34,19
20080205,5,1,39
20111222,3,38,22
20000501,16,32,37
20110729,4,45,12
19890401,17,53,39
20050620,11,0,18
20040629,12,2,41
20001101,20,16,5
20130827,11,25,16
20110621,9,19,39
19770901,12,55,48
19770901,22,50,13
19840901,6,22,8
19840201,9,58,36
19990701,15,38,20
19860801,16,0,41
20130111,16,3,21
20111209,7,7,47
20051028,12,59,43
19841201,0,44,28
20021108,2,48,28
20121228,21,22,26
20091223,17,23,36
20030401,23,16,42
19980601,7,37,49
19840701,6,41,44
19970801,11,24,38
19750901,9,43,0
19791101,19,32,45
19940901,15,2,35
19751201,5,20,25
20110811,17,36,35
20100902,6,57,22
20110811,6,42,33
20040929,16,58,33
20030605,22,16,20
19981001,5,13,28
20050601,8,3,44
20080801,8,59,15
20110926,3,27,37
20100415,1,52,4
20080404,3,22,32
19760701,6,12,15
20060929,4,31,55
19761001,16,45,41
20091113,15,43,15
20120705,8,11,25
20051117,24,16,12
19980101,9,50,53
20050624,6,8,31
20010830,2,44,0
20000211,21,25,12
20011214,4,0,6
19920301,24,35,22
19940301,17,39,50
19990201,17,36,30
20120817,20,16,10
20141022,15,11,48
20080424,0,32,10
20020118,2,28,25
19830301,12,33,23
20130404,9,35,0
19791001,23,57,34
19921201,5,27,39
20041029,20,24,50
19830801,14,38,19
20101022,0,52,51
20090528,15,8,47
20110103,16,20,9
19911201,8,2,59
20100715,1,57,37
19830401,2,33,36
20060814,8,9,24
20120504,24,20,59
20080731,21,47,3
19831001,7,13,19
19881201,0,34,12
20091116,1,26,44
20000929,7,59,7
20070118,0,23,22
20120627,2,59,53
19930301,2,23,29
19970801,21,46,39
20060831,6,48,13
20090625,23,34,16
20101015,7,40,33
20091001,24,55,49
20070123,10,40,38
20130625,6,1,39
19750601,24,24,45
20030909,17,17,39
20011203,13,58,1
20060929,12,22,25
19760801,6,33,7
20130827,7,55,31
19940701,14,51,41
20000706,19,26,48
19880901,2,52,16
20050609,15,50,0
19960401,5,40,14
19950801,19,37,24
20130419,1,43,54
19760601,3,38,8
20030801,17,45,16
19950701,0,33,4
19920101,8,4,0
20030530,8,42,14
20020731,11,18,57
19950601,22,30,33
19760401,2,43,21
20110926,14,49,6
20100702,18,34,22
19830601,22,26,45
19950801,22,52,23
20060907,12,34,31
20100812,7,57,42
20040205,2,18,10
20040109,14,17,21
19930901,4,54,7
20010216,9,53,42
20131001,12,42,59
19950601,24,33,41
19920601,15,27,47
19920501,14,2,7
19750401,18,33,1
20130215,13,41,16
19771001,23,5,11
19800301,13,9,41
20120828,0,48,16
20050630,5,43,20
20041018,17,22,52
20080626,16,33,41
20100305,3,31,55
20130529,8,6,44
20120518,6,43,52
19860901,24,3,59
19980301,18,51,32
20000626,5,47,17
20040615,21,36,55
20101230,16,26,58
19960501,8,45,58
20060331,19,15,34
20121205,4,48,24
20110401,19,34,25
20061018,4,57,0
20080911,9,35,19
19770801,12,40,36
19940701,2,52,15
19770801,8,48,45
20050920,15,48,42
20090430,9,29,27
19911001,2,59,20
20060628,7,13,16
20140825,23,29,28
20070531,3,13,4
19810301,10,41,16
19800501,13,0,18
20040630,15,10,45
20000915,7,50,56
19890101,15,28,14
20080201,23,13,15
19860401,7,37,49
19790601,8,6,4
20140630,0,35,49
20070515,4,36,36
19771001,1,21,9
19771001,23,21,0
20030422,12,16,26
20090720,5,27,34
20090720,23,10,21
20040813,23,53,6
20040813,3,46,2
20040813,20,19,26
19750701,3,58,38
20130501,8,16,7
19950101,24,0,7
20071031,2,20,15
19990429,15,14,36
20010821,6,21,41
20050601,2,11,58
20050601,13,56,27
19980701,8,29,18
20060921,13,6,47
20100709,19,32,12
20021002,11,36,43
20080229,0,56,21
20131127,13,24,40
20040526,14,29,31
19890901,15,2,59
19800201,5,5,51
19880601,10,54,37
19770901,2,38,33
19880801,1,19,59
19921101,19,50,47
20050624,24,4,52
20130827,13,47,3
19980501,19,35,54
20021029,1,26,45
19991101,23,16,41
20130827,15,37,30
20120601,8,57,13
20130603,4,34,9
19980701,15,34,15
20011114,16,58,48
19910601,11,5,57
19920601,19,47,21
19950901,18,7,53
20000225,12,36,47
20100603,0,49,19
19990401,24,22,35
19841201,24,57,31
19980701,2,21,11
19970501,24,19,3
20081217,10,12,59
20030620,0,35,5
19961101,23,46,56
19880901,5,0,19
20080616,21,23,9
20090918,7,31,26
20070823,13,34,45
19960701,21,17,23
20040527,5,52,51
20011210,13,22,3
20050630,13,19,47
19990701,6,22,43
20050914,24,12,44
20000815,22,17,57
20010724,6,36,41
19960801,2,20,54
20110107,24,4,53
20120427,19,46,15
20080728,8,42,23
20050907,16,21,10
20100618,14,33,32
20110725,0,25,51
20040629,11,5,34
20130809,20,54,16
19890601,12,39,27
19950301,14,35,20
19951001,13,52,5
20000811,21,17,32
20070222,19,39,10
19960101,22,48,4
20060309,8,16,58
20080618,7,46,30
20051220,8,21,27
19971101,18,8,6
20140319,8,52,41
19950501,20,37,51
20031009,1,5,32
20030108,5,36,13
19980801,9,38,36
19940601,24,52,17
20140218,24,0,59
20131230,24,40,43
20110629,22,11,0
20140513,5,44,31
20090629,13,18,49
20140617,13,23,21
20020201,16,35,8
20090410,4,7,6
19920601,1,15,30
19960801,15,40,44
20120911,10,55,32
19990101,9,6,44
20070615,3,17,0
20140425,17,5,28
20130604,17,59,47
20040720,1,6,58
19921201,5,47,59
20010718,24,50,35
20070608,20,48,46
20120730,20,39,18
20070301,5,54,15
19971001,2,16,8
20080722,21,8,18
20130821,6,34,1
20090115,12,0,25
20070816,7,32,45
20010815,17,53,22
20010430,17,6,57
20121203,2,39,24
20050527,6,8,48
20031024,7,56,6
20101001,18,20,53
20070301,4,42,58
19980701,10,24,22
20050325,2,40,46
20130620,9,36,24
20090909,14,55,48
20141126,21,23,58
19980401,15,40,5
20141114,2,8,59
20080902,17,52,17
20070301,10,7,50
20050401,20,36,31
19980501,0,10,8
20010831,1,43,38
19980501,1,13,16
19970501,5,44,17
19970401,15,52,7
20101201,3,44,36
20111109,14,57,9
20111109,9,52,52
20081031,13,20,8
20140314,19,10,44
20130123,20,58,49
20080317,7,13,14
20090617,5,31,3
20120530,18,15,3
20080702,2,35,25
20080128,15,12,43
20080125,9,55,40
20080616,5,3,46
20090506,20,42,40
20090708,4,44,40
20100401,14,34,20
20130920,8,57,16
20121114,16,12,6
20091112,10,15,20
20090219,1,0,59
20110616,24,58,52
20101229,18,23,30
20141024,7,53,38
20111202,19,0,2
20130430,20,36,56
20121219,11,41,9
20110614,24,12,11
20131203,1,22,20
20060712,0,26,35
20110615,14,49,42
20091030,24,37,34
20060728,16,26,59
20000731,12,52,42
19801001,21,33,48
20120813,12,58,29
20131216,1,24,1
20000419,11,47,10
20101022,11,4,34
19990701,16,37,32
19770301,20,13,49
20111215,15,58,19
20140626,15,17,19
20070221,16,58,55
19970401,20,6,29
19910401,21,26,4
19991001,1,31,1
19960801,23,10,5
20080822,8,14,12
20130620,20,23,15
20111221,6,44,7
20070419,7,48,20
20101029,21,17,31
19971101,7,1,57
19950201,21,16,31
20141031,9,36,39
19861101,5,48,56
19860801,6,16,58
19971201,19,56,45
19970501,14,12,2
20130320,17,53,16
19920601,10,30,42
19950301,17,31,36
19750101,10,56,3
19980401,8,6,56
20050916,0,37,37
20020501,14,20,4
19890201,20,12,52
20050328,13,19,50
19910401,24,52,3
19930401,9,51,5
20100907,8,58,55
20010514,20,27,9
20000804,23,16,41
20131025,4,45,12
20000906,13,12,37
19860501,3,54,46
20030926,14,31,27
20121203,16,30,21
20110314,23,5,48
19980601,19,42,38
20050901,10,55,55
20120904,24,43,49
20091202,5,37,4
19951101,1,58,22
20010501,23,7,6
20040920,6,17,39
20080609,20,0,44
20110805,16,59,42
20140425,15,29,33
19970401,12,52,47
20070608,13,53,42
20060619,14,45,3
20051214,13,20,50
20120117,11,58,29
20000901,5,31,51
20070417,1,2,36
20120427,5,10,6
20110705,2,12,26
20110225,9,25,49
20131220,20,42,18
20030203,7,28,31
20050615,15,58,24
20080728,14,53,45
20010531,21,8,20
20091120,3,34,38
20110630,16,39,9
20050412,9,48,38
20100722,17,21,55
20040831,4,56,11
20121218,16,19,57
20111103,18,25,15
20000831,0,20,37
20141223,4,59,27
20040901,14,28,0
19991001,1,33,2
19980901,2,30,47
20051206,17,57,21
20121210,3,7,38
19770601,16,33,46
20021011,21,45,38
20100727,8,37,8
20080508,16,2,18
20080508,15,7,49
20100727,24,30,16
19991101,13,35,16
19911001,14,43,26
19940701,24,14,59
20120618,16,21,12
20020805,5,20,14
19770101,24,17,55
20050531,5,8,8
19771001,6,51,17
19950801,23,6,5
20140108,14,44,15
20080118,8,5,13
20080109,12,41,23
20081003,12,8,7
19931201,13,14,59
20121017,9,48,33
20051007,1,6,36
19801001,11,55,56
20141114,11,22,36
19920501,11,41,48
20100222,18,42,28
19861101,2,28,52
20060310,17,55,45
19820901,12,50,12
20140801,8,52,25
20040329,16,52,4
20081126,7,9,11
19760201,24,22,53
20130712,8,38,59
19970701,5,9,14
20010926,21,53,38
20071205,19,51,47
20070126,8,17,42
20120712,1,33,34
19870101,15,45,47
20080815,3,54,22
19980801,12,37,2
19750601,20,26,5
20130401,5,58,38
20010316,3,3,37
20100701,8,56,5
19800101,1,22,4
19940601,18,18,37
20010531,14,3,37
20100527,14,24,37
20020807,6,46,21
19920501,16,59,48
19980801,10,16,5
19911001,13,6,24
20040712,12,35,56
20050513,11,43,42
20010726,11,58,3
20081121,23,39,52
20101029,18,5,20
20080609,20,14,56
20130628,14,39,10
20070525,20,33,29
20010816,8,53,41
19970501,0,30,40
20120330,24,28,18
20140528,20,56,28
20010625,4,1,56
19930601,3,22,53
20110615,14,52,44
19861201,8,5,40
20071023,8,31,25
19860301,20,47,3
20061220,24,49,48
19990801,7,13,39
20000714,9,28,58
20040730,21,52,2
20021101,4,41,0
20110127,1,10,30
20060509,15,35,4
20090819,18,41,57
20110805,23,6,47
20030415,11,20,19
19990119,6,48,20
20070531,6,10,49
20061026,24,52,46
19830901,19,26,23
19870701,15,15,45
19841101,10,38,4
19900601,13,57,5
19930101,23,35,4
20090618,24,1,27
20130930,12,1,58
20140121,22,19,11
20130614,5,54,25
19971201,23,16,57
19980401,21,55,7
20130805,1,51,0
19870801,22,50,7
20010718,18,5,39
19860601,17,11,6
19870201,21,27,23
19820501,7,25,56
19830701,6,23,27
19770801,14,12,43
19971101,4,35,29
20130830,23,14,38
19860601,7,59,27
20100715,17,15,43
19840601,20,13,2
20120806,24,40,55
19980701,24,40,50
19961001,20,9,37
20020712,5,20,56
20130306,23,27,16
20140501,13,9,5
19940701,8,53,28
19911101,2,5,28
20040401,6,33,41
20041015,23,13,24
20130416,21,11,0
20020625,19,44,45
20031230,9,4,58
20140716,3,29,41
20140801,16,53,30
20130801,16,33,15
20081210,1,15,31
20130528,6,54,58
19820801,4,26,38
20100802,15,58,6
20001201,5,11,10
19750501,12,34,12
20120608,9,20,55
20121207,14,5,11
19920901,15,1,52
20120907,0,6,18
20110802,19,47,27
19790601,17,8,44
20030117,20,25,46
19831201,16,21,16
20130912,12,1,17
19990701,3,11,18
20060224,13,7,49
20020801,23,19,5
20100624,13,0,56
20010829,6,45,19
20101210,11,57,51
20110114,11,58,37
20130913,2,37,40
20130315,24,54,38
20060310,10,50,20
20040819,20,28,56
19890601,17,3,34
20000825,4,10,29
19950801,18,38,47
20140731,23,28,53
19871101,4,19,16
19980601,14,20,32
20090715,3,28,4
19800801,3,47,38
20121130,19,31,53
20040708,0,56,45
20071106,17,11,12
20050715,1,54,17
20140227,22,25,4
19880801,5,52,57
20100625,11,30,4
20120615,13,47,28
19881001,16,4,30
20130530,7,28,25
20101014,16,42,0
20080507,8,34,29
20050627,14,22,7
20130906,3,16,29
19920501,1,25,7
20100628,8,55,44
19970401,16,58,10
20100407,0,19,32
20070828,15,21,10
20041101,23,56,41
20010717,7,7,38
19930801,14,38,0
20120801,6,51,11
20040730,4,20,14
19770901,8,18,24
19990701,11,9,39
19880701,18,24,43
20060811,16,29,31
20120907,12,3,54
19891001,0,24,38
19961201,13,52,10
20110801,19,28,43
20140716,13,34,16
20130114,1,35,28
20130408,16,3,51
19940201,13,33,12
20110527,2,39,32
19820901,6,20,56
19961101,24,20,17
20110623,1,39,56
20101130,6,11,54
19760801,13,57,46
19860601,12,35,23
20000629,8,0,2
19840801,16,3,37
20081223,23,31,1
20130621,17,22,31
20110803,18,25,3
19880801,0,42,54
20141215,16,27,34
19930101,9,1,17
19990701,13,45,24
20120815,2,8,3
20120319,3,41,29
19950801,13,3,30
20121218,6,28,56
20000525,21,56,57
20120531,4,43,49
20120216,3,49,27
19830101,15,8,49
19840201,3,4,36
19840601,16,42,27
20000518,23,27,40
19790901,6,59,28
20011207,21,12,53
20081118,14,55,13
20010724,10,36,35
20140527,15,2,11
20140715,14,18,50
20071227,0,25,41
20111116,24,17,55
20051118,12,2,14
20100323,4,36,5
20060206,22,34,8
19760701,5,8,23
19981001,12,56,29
20140522,20,48,43
20010613,9,2,25
20000222,23,52,1
20000106,24,43,36
20000111,11,28,11
20031028,14,5,46
20060817,24,47,24
20020315,21,19,34
20020724,3,59,46
19960401,24,40,29
19900101,2,11,56
19810101,1,54,2
20071121,7,29,32
19960601,0,0,41
20051021,6,17,35
19960701,14,10,30
20070328,20,19,53
20120330,16,57,5
20090605,14,33,22
20061027,19,44,13
20041129,21,46,31
20050729,4,18,47
20110520,17,8,55
19910601,0,57,46
19950501,23,29,0
19951201,18,53,58
19910301,6,14,43
19900601,2,52,18
20120420,6,48,28
20140930,9,8,31
19940601,6,17,18
20080603,5,32,18
20021107,14,35,11
19931001,22,9,15
19950501,12,25,30
20090821,21,21,20
20000428,1,4,26
20060926,11,16,32
20140609,17,49,27
20020823,24,55,58
19870701,7,50,7
20030919,19,53,1
20090501,9,32,57
20140108,5,45,49
19891201,14,38,41
20140630,12,45,7
20000512,13,7,16
20020930,4,8,20
20130402,9,29,33
20121019,22,37,25
19760901,21,45,16
19960801,14,2,1
20060706,7,6,39
19970601,3,42,28
20120824,2,32,12
19910801,14,20,46
20040928,11,42,55
19831201,9,10,20
19880901,7,52,17
19991101,0,11,57
20050728,1,24,5
20020712,0,53,18
19800501,12,31,18
20081120,20,56,55
19800901,10,40,26
19951201,17,49,35
20131025,3,21,4
20030714,13,36,48
19991001,13,10,30
20090410,9,58,34
20051209,20,28,34
20020730,9,53,26
19870301,3,3,16
19940801,0,52,21
20001215,14,47,43
20040708,22,58,39
19980401,1,53,44
20140627,21,34,28
20050707,4,40,44
19760801,13,23,18
20080826,12,13,26
20100930,14,36,56
20130123,22,58,54
20010809,4,33,22
19760901,13,20,32
20131218,19,53,19
19761001,11,9,1
19821001,5,49,14
19920201,15,38,16
19860901,7,41,58
19880901,24,53,9
20090626,19,9,21
20101230,22,25,30
20130828,19,18,45
19750501,14,12,10
19970201,9,54,37
19770401,17,49,33
19790701,15,35,48
20051004,2,24,38
19981001,16,53,3
20121220,9,18,1
19880301,5,33,27
19890801,15,10,55
19990801,8,20,6
20140623,11,24,2
20040827,18,16,34
19761001,15,32,16
19940401,18,12,59
20050826,16,57,47
19991221,1,21,40
20120614,10,21,6
20071015,23,7,18
19820401,7,32,12
20000501,19,28,4
20080225,8,41,50
20130528,20,22,45
20020131,3,15,18
20030701,15,2,11
20021203,4,37,13
20040629,14,44,34
20081121,19,0,34
19990730,2,46,26
20070103,2,57,48
20080917,14,57,54
19770801,14,57,42
19860701,21,42,30
20110831,16,51,23
20110331,9,20,36
20090130,0,37,27
20000630,7,34,23
20041112,21,56,8
19880901,9,31,27
20030214,4,19,4
19930301,3,16,54
19870801,20,25,18
20080212,1,26,55
20040819,4,13,33
20110801,10,36,35
20040528,20,18,4
20130614,15,5,27
20010330,10,54,27
20141030,23,38,21
19870801,11,22,16
20110907,10,36,26
19980301,24,51,36
20050606,13,44,44
19800801,1,59,16
19800301,16,1,42
20140514,13,9,57
20120921,9,31,47
20010904,21,49,1
20080602,17,11,22
19961001,23,6,20
20120503,12,21,59
20011228,15,22,36
20010515,0,36,22
19960301,15,51,56
19760601,11,19,35
20000327,22,19,55
20040728,10,54,43
20001122,2,51,18
20061102,16,50,24
19991001,15,15,48
19790901,9,4,54
19751201,9,10,23
20030307,0,24,44
20071127,13,23,47
20071127,22,52,42
20071127,15,18,45
20071127,23,6,59
20020919,5,36,7
20000310,15,5,27
19890101,17,54,37
19750701,3,9,6
20030214,0,55,37
20010308,11,1,48
20020116,3,54,47
19920201,10,41,55
20111229,13,13,26
20050324,20,21,30
19740801,13,16,21
20010222,6,54,20
19900401,3,30,20
19840701,13,41,10
20050729,11,54,3
19890401,8,42,45
20061221,13,17,50
19830101,21,39,52
19980601,22,48,20
20011220,0,14,29
19770501,9,37,55
19990301,23,49,33
19991207,9,48,30
20091014,5,2,28
20011019,12,6,33
19920801,5,33,13
20010614,20,8,26
19800701,2,26,55
19960801,23,13,19
20130607,15,49,9
20090701,22,27,18
20011130,22,16,51
20020430,13,10,58
20060831,6,38,47
19860101,12,18,43
20120621,24,57,7
20111205,21,13,18
20040519,17,6,52
19880301,24,21,13
19890401,19,2,0
19750701,24,15,37
20051202,12,29,11
20011130,10,13,2
20050819,1,33,20
20130315,0,26,0
19930101,5,4,12
19761001,19,9,51
19770401,2,26,33
19801001,21,14,19
20100524,22,18,28
20130628,22,52,58
20040213,22,12,13
19970701,0,16,35
19980801,6,16,23
20060706,10,2,5
